Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Segment,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_029622,Lake Sarah-associated circular virus-20,RefSeq,GCF_001590435.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-20-LSMU-2013,Lake Sarah-associated circular virus-20,1632,complete,,New Zealand,,Echyridella menziesii,,2013
NC_029623,Lake Sarah-associated circular virus-42,RefSeq,GCF_001589935.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-42-LSCO-2013,Lake Sarah-associated circular virus-42,3049,complete,,New Zealand,,Sphaerium novaezelandiae,,2013
NC_029624,Lake Sarah-associated circular virus-43,RefSeq,GCF_001589615.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-43-LSCO-2013,Lake Sarah-associated circular virus-43,2999,complete,,New Zealand,,Sphaerium novaezelandiae,,2013
NC_029625,Lake Sarah-associated circular virus-48,RefSeq,GCF_001590515.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-48-LSCO-2013,Lake Sarah-associated circular virus-48,2039,complete,,New Zealand,,Sphaerium novaezelandiae,,2013
NC_029626,Lake Sarah-associated circular virus-49,RefSeq,GCF_001590215.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-49-LSGA-2013,Lake Sarah-associated circular virus-49,2927,complete,,New Zealand,,Potamopyrgus antipodarum,,2013
NC_029627,Lake Sarah-associated circular virus-50,RefSeq,GCF_001589575.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-50-LSCO-2013,Lake Sarah-associated circular virus-50,1802,complete,,New Zealand,,Sphaerium novaezelandiae,,2013
NC_029628,Lake Sarah-associated circular virus-21,RefSeq,GCF_001590135.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-21-LSMU-2013,Lake Sarah-associated circular virus-21,1762,complete,,New Zealand,,Echyridella menziesii,,2013
NC_029629,Lake Sarah-associated circular virus-51,RefSeq,GCF_001589495.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-51-LSMU-2013,Lake Sarah-associated circular virus-51,2175,complete,,New Zealand,,Echyridella menziesii,,2013
NC_029630,Lake Sarah-associated circular virus-27,RefSeq,GCF_001590075.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-27-LSSO-2013,Lake Sarah-associated circular virus-27,2256,complete,,New Zealand,,,,2013
NC_029631,Lake Sarah-associated circular virus-44,RefSeq,GCF_001590535.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-44-LSCO-2013,Lake Sarah-associated circular virus-44,3910,complete,,New Zealand,,Sphaerium novaezelandiae,,2013
NC_029632,Lake Sarah-associated circular molecule 9,RefSeq,GCF_001589375.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCM-9-LSLA-2013,Lake Sarah-associated circular molecule 9,1137,complete,,New Zealand,,Procordulia grayi,,2013
NC_029633,Lake Sarah-associated circular virus-45,RefSeq,GCF_001590235.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-45-LSCO-2013,Lake Sarah-associated circular virus-45,2903,complete,,New Zealand,,Sphaerium novaezelandiae,,2013
NC_029634,Lake Sarah-associated circular molecule 10,RefSeq,GCF_001589735.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCM-10-LSLA-2013,Lake Sarah-associated circular molecule 10,1693,complete,,New Zealand,,Procordulia grayi,,2013
NC_029635,Lake Sarah-associated circular virus-46,RefSeq,GCF_001589915.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-46-LSSO-2013,Lake Sarah-associated circular virus-46,1912,complete,,New Zealand,,,,2013
NC_029636,Lake Sarah-associated circular virus-22,RefSeq,GCF_001589815.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-22-LSMU-2013,Lake Sarah-associated circular virus-22,1660,complete,,New Zealand,,Echyridella menziesii,,2013
NC_029637,Lake Sarah-associated circular virus-23,RefSeq,GCF_001590095.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-23-LSMU-2013,Lake Sarah-associated circular virus-23,1775,complete,,New Zealand,,Echyridella menziesii,,2013
NC_029638,Lake Sarah-associated circular virus-47,RefSeq,GCF_001589595.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-47-LSCO-2013,Lake Sarah-associated circular virus-47,2732,complete,,New Zealand,,Sphaerium novaezelandiae,,2013
NC_029639,Lake Sarah-associated circular virus-24,RefSeq,GCF_001589775.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCV-24-LSMU-2013,Lake Sarah-associated circular virus-24,1627,complete,,New Zealand,,Echyridella menziesii,,2013
NC_029640,Lake Sarah-associated circular molecule 11,RefSeq,GCF_001589415.1,"Dayaram,A., Galatowitsch,M.L., Arguello-Astorga,G.R., van Bysterveldt,K., Kraberger,S., Stainton,D., Harding,J.S., Roumagnac,P., Martin,D.P., Lefeuvre,P., Varsani,A., Galatowitsch,M.","National Center for Biotechnology Information, NIH",USA,2016-03-09,LSaCM-11-LSWA-2013,Lake Sarah-associated circular molecule 11,1123,complete,,New Zealand,,,,2013
NC_029549,Emaravirus tritici,RefSeq,GCF_002375145.1,"Tatineni,S., McMechan,A.J., Wosula,E.N., Wegulo,S.N., Graybosch,R.A., French,R., Hein,G.L.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Nebraska,Emaravirus tritici,2211,complete,RNA 2,USA,,Triticum aestivum,,
NC_029550,Emaravirus tritici,RefSeq,GCF_002375145.1,"Tatineni,S., McMechan,A.J., Wosula,E.N., Wegulo,S.N., Graybosch,R.A., French,R., Hein,G.L.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Nebraska,Emaravirus tritici,1441,complete,3,USA,,Triticum aestivum,,
NC_029551,Emaravirus tritici,RefSeq,GCF_002375145.1,"Tatineni,S., McMechan,A.J., Wosula,E.N., Wegulo,S.N., Graybosch,R.A., French,R., Hein,G.L.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Nebraska,Emaravirus tritici,1682,complete,RNA 4,USA,,Triticum aestivum,,
NC_029552,Emaravirus tritici,RefSeq,GCF_002375145.1,"Tatineni,S., McMechan,A.J., Wosula,E.N., Wegulo,S.N., Graybosch,R.A., French,R., Hein,G.L.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Nebraska,Emaravirus tritici,1715,complete,RNA 5,USA,,Triticum aestivum,,
NC_029553,Emaravirus tritici,RefSeq,GCF_002375145.1,"Tatineni,S., McMechan,A.J., Wosula,E.N., Wegulo,S.N., Graybosch,R.A., French,R., Hein,G.L.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Nebraska,Emaravirus tritici,1752,complete,RNA 6,USA,,Triticum aestivum,,
NC_029554,Emaravirus tritici,RefSeq,GCF_002375145.1,"Tatineni,S., McMechan,A.J., Wosula,E.N., Wegulo,S.N., Graybosch,R.A., French,R., Hein,G.L.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Nebraska,Emaravirus tritici,1434,complete,RNA 7,USA,,Triticum aestivum,,
NC_029555,Emaravirus tritici,RefSeq,GCF_002375145.1,"Tatineni,S., McMechan,A.J., Wosula,E.N., Wegulo,S.N., Graybosch,R.A., French,R., Hein,G.L.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Nebraska,Emaravirus tritici,1339,complete,RNA 8,USA,,Triticum aestivum,,
NC_029556,Emaravirus cajani,RefSeq,GCF_001580355.1,"Elbeaino,T., Digiaro,M., Uppala,M., Sudini,H.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus cajani,2223,complete,RNA2,"India:Patancheru, Andhra Pradesh",,Cajanus cajan,,2011-07-10
NC_029557,Emaravirus cajani,RefSeq,GCF_001580355.1,"Elbeaino,T., Digiaro,M., Uppala,M., Sudini,H.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus cajani,1563,complete,RNA4,"India:Patancheru, Andhra Pradesh",,Cajanus cajan,,2011-07-10
NC_029558,Emaravirus idaeobati,RefSeq,GCF_001580315.1,"McGavin,W.J., Mitchell,C., Cock,P.J., Wright,K.M., Macfarlane,S.A., MacFarlane,S.A.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus idaeobati,2135,complete,2,United Kingdom:Tayside,,Rubus idaeus,,
NC_029559,Emaravirus idaeobati,RefSeq,GCF_001580315.1,"McGavin,W.J., Mitchell,C., Cock,P.J., Wright,K.M., Macfarlane,S.A., MacFarlane,S.A.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus idaeobati,1365,complete,3,United Kingdom:Tayside,,Rubus idaeus,,
NC_029560,Emaravirus idaeobati,RefSeq,GCF_001580315.1,"McGavin,W.J., Mitchell,C., Cock,P.J., Wright,K.M., Macfarlane,S.A., MacFarlane,S.A.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus idaeobati,1675,complete,4,United Kingdom:Tayside,,Rubus idaeus,,
NC_029561,Emaravirus idaeobati,RefSeq,GCF_001580315.1,"McGavin,W.J., Mitchell,C., Cock,P.J., Wright,K.M., Macfarlane,S.A., MacFarlane,S.A.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus idaeobati,1718,complete,5,United Kingdom:Tayside,,Rubus idaeus,,
NC_029562,Emaravirus fici,RefSeq,GCF_001580335.1,"Elbeaino,T., Digiaro,M., Alabdullah,A., De Stradis,A., Minafra,A., Mielke,N., Castellano,M.A., Martelli,G.P.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus fici,7039,complete,1,,,Ficus carica,,
NC_029563,Emaravirus fici,RefSeq,GCF_001580335.1,"Elbeaino,T., Digiaro,M., Martelli,G.P.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Gr10,Emaravirus fici,1490,complete,3,,,Ficus carica,,
NC_029564,Emaravirus fici,RefSeq,GCF_001580335.1,"Elbeaino,T., Digiaro,M., Martelli,G.P.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Gr10,Emaravirus fici,1472,complete,4,Italy,,Ficus carica,,
NC_029565,Emaravirus fici,RefSeq,GCF_001580335.1,"Elbeaino,T., Digiaro,M., Alabdullah,A., De Stradis,A., Minafra,A., Mielke,N., Castellano,M.A., Martelli,G.P.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Gr10,Emaravirus fici,2252,complete,2,,,Ficus carica,,
NC_029566,Emaravirus fici,RefSeq,GCF_001580335.1,"Elbeaino,T.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Gr10,Emaravirus fici,1752,complete,5,Italy,,Ficus carica,,
NC_029567,Emaravirus idaeobati,RefSeq,GCF_001580315.1,"McGavin,W.J., Mitchell,C., Cock,P.J., Wright,K.M., Macfarlane,S.A., MacFarlane,S.A.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus idaeobati,7062,complete,1,United Kingdom:Tayside,,Rubus idaeus,,
NC_029568,Emaravirus fici,RefSeq,GCF_001580335.1,"Elbeaino,T.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Gr10,Emaravirus fici,1212,complete,6,Italy,,,,
NC_029569,Emaravirus cajani,RefSeq,GCF_001580355.1,"Elbeaino,T., Digiaro,M., Uppala,M., Sudini,H.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus cajani,1801,complete,RNA5,"India:Patancheru, Andhra",,Cajanus cajan,,2011-07-10
NC_029570,Emaravirus tritici,RefSeq,GCF_002375145.1,"Tatineni,S., McMechan,A.J., Wosula,E.N., Wegulo,S.N., Graybosch,R.A., French,R., Hein,G.L.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Nebraska,Emaravirus tritici,6981,complete,RNA 1,USA,,Triticum aestivum,,
NC_029571,Emaravirus idaeobati,RefSeq,GCF_001580315.1,"Macfarlane,S.A.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Pittenweem,Emaravirus idaeobati,1095,complete,6,United Kingdom,,Rubus,,2014
NC_029572,Emaravirus idaeobati,RefSeq,GCF_001580315.1,"Macfarlane,S.A.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Pittenweem,Emaravirus idaeobati,1089,complete,7,United Kingdom,,Rubus,,2014
NC_029573,Emaravirus idaeobati,RefSeq,GCF_001580315.1,"Macfarlane,S.A.","National Center for Biotechnology Information, NIH",USA,2016-03-03,Pittenweem,Emaravirus idaeobati,1273,complete,8,United Kingdom,,Rubus,,2014
NC_029574,Emaravirus cajani,RefSeq,GCF_001580355.1,"Elbeaino,T., Digiaro,M., Uppala,M., Sudini,H.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus cajani,1442,complete,RNA3,"India:Patancheru, Andhra Pradesh",,Cajanus cajan,,2011-07-10
NC_029575,Emaravirus cajani,RefSeq,GCF_001580355.1,"Elbeaino,T., Digiaro,M., Uppala,M., Sudini,H.","National Center for Biotechnology Information, NIH",USA,2016-03-03,,Emaravirus cajani,7022,complete,RNA1,"India:Patancheru, Andhra Pradesh",,Cajanus cajan,,2011-07-10
NC_029307,Marine RNA virus PAL156,RefSeq,GCF_001579455.1,"Miranda,J.A., Culley,A.I., Schvarcz,C.R., Steward,G.F.","National Center for Biotechnology Information, NIH",USA,2016-03-01,,Palmarnavirus 156,7897,complete,,,,,,
NC_029308,Marine RNA virus PAL438,RefSeq,GCF_001579355.1,"Miranda,J.A., Culley,A.I., Schvarcz,C.R., Steward,G.F.","National Center for Biotechnology Information, NIH",USA,2016-03-01,,Marine RNA virus PAL438,7047,complete,,,,,,
NC_029309,Marine RNA virus PAL473,RefSeq,GCF_001579475.1,"Miranda,J.A., Culley,A.I., Schvarcz,C.R.","National Center for Biotechnology Information, NIH",USA,2016-03-01,,Palmarnavirus 473,6360,complete,,,,,,
NC_029310,Marine RNA virus PAL_E4,RefSeq,GCF_001579415.1,"Miranda,J.A., Culley,A.I., Schvarcz,C.R., Steward,G.F.","National Center for Biotechnology Information, NIH",USA,2016-03-01,,Marine RNA virus PAL_E4,8187,complete,,,,,,
NC_029312,Camponotus nipponicus virus,RefSeq,GCF_001579375.1,"Koyama,S., Sakai,C., Thomas,C.E., Urayama,S., Nunoura,T.","National Center for Biotechnology Information, NIH",USA,2016-03-01,,Camponotus nipponicus virus,5713,complete,,"Japan: Shizuoka, Shimoda",,Colobopsis nipponica,,2014-11-11
NC_029313,Bhindi yellow vein alphasatellite,RefSeq,GCF_001579335.1,"Iqbal,M.J., Hussain,W., Zia-ur-Rehman,M., Hameed,U., Haider,M.S.","National Center for Biotechnology Information, NIH",USA,2016-03-01,Pakistan:Lahore:Urtica dioica_2013,Bhindi yellow vein alphasatellite,1361,complete,,Pakistan,,Urtica dioica,,2013-08-20
NC_029306,Marine RNA virus PAL128,RefSeq,GCF_001576855.1,"Miranda,J.A., Culley,A.I., Schvarcz,C.R., Steward,G.F.","National Center for Biotechnology Information, NIH",USA,2016-02-26,,Palmarnavirus 128,8660,complete,,,,,,
NC_029301,Currant virus A,RefSeq,GCF_001567035.1,"Petrzik,K., Pribylova,J., Koloniuk,I., Spak,J.","National Center for Biotechnology Information, NIH",USA,2016-02-22,,Currant virus A,7925,complete,,Czech Republic,,Ribes rubrum,,2014
NC_029302,Piscine myocarditis-like virus,RefSeq,GCF_001567055.1,"Mor,S.K., Phelps,N.B.D.","National Center for Biotechnology Information, NIH",USA,2016-02-22,Golden shiner/PMCLV/USA/MN/2014,Piscine myocarditis-like virus,6038,complete,,USA,,Notemigonus crysoleucas,"kidney, spleen",2014
NC_029303,Blackberry virus F,RefSeq,GCF_001567075.1,"Shahid,M.S., Aboughanem-Sabanadzovic,N., Sabanadzovic,S., Tzanetakis,I.E.","National Center for Biotechnology Information, NIH",USA,2016-02-22,BBV-3X,Badnavirus phirubi,7663,complete,,USA,,Rubus,plant leaf,2012-08-22
NC_029300,Bat bocavirus,RefSeq,GCF_001564365.1,"Li,X., He,B., Xia,L., Xu,L., Tu,C.","National Center for Biotechnology Information, NIH",USA,2016-02-18,YNJH,Bat bocavirus,5203,complete,,China,,Aselliscus stoliczkanus,,2011
NC_029131,Delisea pulchra RNA virus,RefSeq,GCF_001560985.1,"Lachnit,T., Thomas,T., Steinberg,P.","National Center for Biotechnology Information, NIH",USA,2016-02-11,Delisea,Delisea pulchra RNA virus,9581,complete,,Australia,,Delisea pulchra,,2014-01-28
NC_029133,Rat bocavirus,RefSeq,GCF_001560965.1,"Lau,S.K.P., Yeung,H.C., Li,K.S.M., Lam,C.S.F., Cai,J.P., Yuen,M.C., Wang,M., Zheng,B.J., Woo,P.C.Y., Yuen,K.Y.","National Center for Biotechnology Information, NIH",USA,2016-02-11,,Bocaparvovirus rodent1,5212,complete,,Hong Kong,,Rattus norvegicus,,2010-09-15
NC_029056,Alternaria brassicicola fusarivirus 1,RefSeq,GCF_001550805.1,"Zhong,J., Shang,H.H., Zhu,C.X., Zhu,J.Z., Zhu,H.J., Hu,Y., Gao,B.D.","National Center for Biotechnology Information, NIH",USA,2016-02-05,817-14,Betafusarivirus alternariae,6656,complete,,China,,Alternaria brassicicola,,2013
NC_029063,Nectarine marafivirus M,RefSeq,GCF_001550585.1,"Villamor,D.E.V., Mekuria,T.A., Pillai,S.S., Eastwell,K.C.","National Center for Biotechnology Information, NIH",USA,2016-02-05,NeVM/12C51,Marafivirus nucipersicae,6421,complete,,USA,,Prunus persica,,
NC_029064,Cucumis melo alphaendornavirus,RefSeq,GCF_001550465.1,"Sabanadzovic,S., Wintermantel,W.M., Valverde,R.A., McCreight,J.D., Aboughanem-Sabanadzovic,N.","National Center for Biotechnology Information, NIH",USA,2016-02-05,CL-01,Cucumis melo alphaendornavirus,15078,complete,,USA: Mississippi,MS,Cucumis melo,,2012-08-10
NC_029076,Iris severe mosaic virus,RefSeq,GCF_001551305.1,"Li,Y., Deng,C., Shang,Q., Zhao,X., Liu,X., Zhou,Q.","National Center for Biotechnology Information, NIH",USA,2016-02-05,BJ,Potyvirus iriseverum,10423,complete,,China,,Iris,,2013
NC_029082,Arrabida virus,RefSeq,GCF_001550565.2,"Amaro,F., Hanke,D., Ze-Ze,L., Alves,M.J., Becker,S.C., Hoper,D., Alves,M.-J.","National Center for Biotechnology Information, NIH",USA,2016-02-05,,Arrabida virus,6391,complete,L,Portugal: Arrabida,,,,2008
NC_029085,Elderberry carlavirus A,RefSeq,GCF_001551605.1,"Ho,T., Quito-Avila,D., Keller,K.E., Postman,J.D., Martin,R.R., Tzanetakis,I.E.","National Center for Biotechnology Information, NIH",USA,2016-02-05,EBCVA,Elderberry carlavirus A,8628,complete,,USA,,Sambucus,,2011-08-02
NC_029086,Elderberry carlavirus B,RefSeq,GCF_001550925.1,"Ho,T., Quito-Avila,D., Keller,K.E., Postman,J.D., Martin,R.R., Tzanetakis,I.E.","National Center for Biotechnology Information, NIH",USA,2016-02-05,EBCVB,Elderberry carlavirus B,8607,complete,,USA,,Sambucus,,2011-08-02
NC_029087,Elderberry carlavirus C,RefSeq,GCF_001550545.1,"Ho,T., Quito-Avila,D., Keller,K.E., Postman,J.D., Martin,R.R., Tzanetakis,I.E.","National Center for Biotechnology Information, NIH",USA,2016-02-05,EBCVC,Sambucus virus C,8613,complete,,USA,,Sambucus,,2011-08-02
NC_029088,Elderberry carlavirus D,RefSeq,GCF_001551245.1,"Ho,T., Quito-Avila,D., Keller,K.E., Postman,J.D., Martin,R.R., Tzanetakis,I.E.","National Center for Biotechnology Information, NIH",USA,2016-02-05,EBCVD,Sambucus virus D,8612,complete,,USA,,Sambucus,,2011-08-02
NC_029089,Elderberry carlavirus E,RefSeq,GCF_001551585.1,"Ho,T., Quito-Avila,D., Keller,K.E., Postman,J.D., Martin,R.R., Tzanetakis,I.E.","National Center for Biotechnology Information, NIH",USA,2016-02-05,EBCVE,Sambucus virus E,8540,complete,,USA,,Sambucus,,2011-08-02
NC_029095,Erysiphe cichoracearum alphaendornavirus,RefSeq,GCF_001551165.1,"Du,Z., Lin,W., Qiu,P., Liu,X., Guo,L., Wu,K., Zhang,S., Wu,Z., Fang,S.","National Center for Biotechnology Information, NIH",USA,2016-02-05,HBJZ1506,Erysiphe cichoracearum alphaendornavirus,11907,complete,,"China: Jingzhou, Hubei",,Golovinomyces cichoracearum,,2015-06-16
NC_029096,Panax notoginseng virus A,RefSeq,GCF_001550445.1,"Guo,L., Yang,X., Wu,W., Tan,G., Fang,S., Zhang,S., Li,F.","National Center for Biotechnology Information, NIH",USA,2016-02-05,YNSL1210,Panax notoginseng virus A,5003,complete,,"China: Shilin, Yunnan",,Panax notoginseng,,2014-10-20
NC_029105,Pavonia yellow mosaic virus,RefSeq,GCF_001551525.2,"Pinto,V.B., Silva,J.P., Fiallo-Olive,E., Navas-Castillo,J., Zerbini,F.M.","National Center for Biotechnology Information, NIH",USA,2016-02-05,BR-Alb51-14,Pavonia yellow mosaic virus,2700,complete,DNA-A,Brazil,,Pavonia,,2014-09
NC_029108,Ctenophore-associated circular virus 1,RefSeq,GCF_001551145.1,"Breitbart,M., Benner,B.E., Jernigan,P.E., Rosario,K., Birsa,L.M., Harbeitner,R.C., Fulford,S., Graham,C., Walters,A., Goldsmith,D.B., Berger,S.A., Nejstgaard,J.C., Benner,B., Jernigan,P., Birsa,L., Nejstgaard,J.","National Center for Biotechnology Information, NIH",USA,2016-02-05,I1241,Ctenophore-associated circular virus 1,1846,complete,,"USA: Skidaway River, Georgia",GA,Mnemiopsis leidyi,,2013-09-19
NC_029109,Ctenophore-associated circular virus 2,RefSeq,GCF_001551485.1,"Breitbart,M., Benner,B.E., Jernigan,P.E., Rosario,K., Birsa,L.M., Harbeitner,R.C., Fulford,S., Graham,C., Walters,A., Goldsmith,D.B., Berger,S.A., Nejstgaard,J.C., Benner,B., Jernigan,P., Birsa,L., Nejstgaard,J.","National Center for Biotechnology Information, NIH",USA,2016-02-05,I1098,Ctenophore-associated circular virus 2,1853,complete,,"USA: Skidaway River, Georgia",GA,Mnemiopsis leidyi,,2013-03-21
NC_029110,Ctenophore-associated circular virus 3,RefSeq,GCF_001551005.1,"Breitbart,M., Benner,B.E., Jernigan,P.E., Rosario,K., Birsa,L.M., Harbeitner,R.C., Fulford,S., Graham,C., Walters,A., Goldsmith,D.B., Berger,S.A., Nejstgaard,J.C., Benner,B., Jernigan,P., Birsa,L., Nejstgaard,J.","National Center for Biotechnology Information, NIH",USA,2016-02-05,I0985,Ctenophore-associated circular virus 3,1722,complete,,"USA: Skidaway River, Georgia",GA,Mnemiopsis leidyi,,2013-04-15
NC_029111,Ctenophore-associated circular virus 4,RefSeq,GCF_001550625.1,"Breitbart,M., Benner,B.E., Jernigan,P.E., Rosario,K., Birsa,L.M., Harbeitner,R.C., Fulford,S., Graham,C., Walters,A., Goldsmith,D.B., Berger,S.A., Nejstgaard,J.C., Benner,B., Jernigan,P., Birsa,L., Nejstgaard,J.","National Center for Biotechnology Information, NIH",USA,2016-02-05,I0878,Ctenophore-associated circular virus 4,1714,complete,,"USA: Skidaway River, Georgia",GA,Mnemiopsis leidyi,,2013-04-03
NC_029112,Ctenophore-associated circular genome 1,RefSeq,GCF_001551325.1,"Breitbart,M., Benner,B.E., Jernigan,P.E., Rosario,K., Birsa,L.M., Harbeitner,R.C., Fulford,S., Graham,C., Walters,A., Goldsmith,D.B., Berger,S.A., Nejstgaard,J.C., Benner,B., Jernigan,P., Birsa,L., Nejstgaard,J.","National Center for Biotechnology Information, NIH",USA,2016-02-05,I1241-H6,Ctenophore-associated circular genome 1,1210,complete,,"USA: Skidaway River, Georgia",GA,Mnemiopsis leidyi,,2013-09-19
