Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Length,Nuc_Completeness,Segment,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_033452,Wuchan romanomermis nematode virus 3,RefSeq,GCF_001970765.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-23,,Wuchan romanomermis nematode virus 3,,2645,complete,1,China,,Nematoda,,2014
NC_033453,Wuhan arthropod virus 4,RefSeq,GCF_001970285.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-23,,Wuhan arthropod virus 4,,1592,complete,2,China,,Hexapoda,,2013
NC_033454,Wuhan Millipede virus 4,RefSeq,GCF_001970305.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-23,,Wuhan Millipede virus 4,,1517,complete,4,China,,Dermaptera,,2013
NC_033023,Hubei tombus-like virus 28,RefSeq,GCF_001965095.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei tombus-like virus 28,,2539,complete,1,China,,Tetragnatha maxillosa,,2013
NC_033277,Isaria javanica chrysovirus 1,RefSeq,GCF_001968735.1,"Herrero,N.","National Center for Biotechnology Information, NIH",USA,2017-01-17,IjCV-1,Alphachrysovirus isariae,Alphachrysovirus,3593,complete,1,Czech Republic,,Cordyceps javanica,,2015-09-24
NC_033278,Isaria javanica chrysovirus 1,RefSeq,GCF_001968735.1,"Herrero,N.","National Center for Biotechnology Information, NIH",USA,2017-01-17,IjCV-1,Alphachrysovirus isariae,Alphachrysovirus,2874,complete,4,Czech Republic,,Cordyceps javanica,,2015-09-24
NC_033279,Sanxia water strider virus 10,RefSeq,GCF_001958715.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Sanxia water strider virus 10,,2989,complete,1,China,,Gerridae,,2013
NC_033280,Hubei unio douglasiae virus 1,RefSeq,GCF_001963015.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei unio douglasiae virus 1,,3215,complete,1,China,,Siluridae,,2014
NC_033281,Hubei unio douglasiae virus 1,RefSeq,GCF_001963015.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei unio douglasiae virus 1,,1309,complete,2,China,,Siluridae,,2014
NC_033282,Hubei qinvirus-like virus 1,RefSeq,GCF_002368945.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus hubeiense,Yingvirus,5741,complete,1,China,,Diptera,,2013
NC_033283,Hubei qinvirus-like virus 1,RefSeq,GCF_002368945.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus hubeiense,Yingvirus,1625,complete,2,China,,Diptera,,2013
NC_033284,Sanxia Qinvirus-like virus 1,RefSeq,GCF_001961115.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus sanxiaense,Yingvirus,6585,complete,1,China,,Atyidae,,2014
NC_033285,Sanxia Qinvirus-like virus 1,RefSeq,GCF_001961115.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus sanxiaense,Yingvirus,1653,complete,2,China,,Atyidae,,2014
NC_033286,Sanxia water strider virus 10,RefSeq,GCF_001958715.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Sanxia water strider virus 10,,1637,complete,2,China,,Gerridae,,2013
NC_033287,Shahe qinvirus-like virus 1,RefSeq,GCF_001960195.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus shaheense,Yingvirus,5924,complete,1,China,,Termitoidae,,2013
NC_033288,Shahe qinvirus-like virus 1,RefSeq,GCF_001960195.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus shaheense,Yingvirus,1883,complete,2,China,,Termitoidae,,2014
NC_033289,Shahe yuevirus-like virus 1,RefSeq,GCF_001960175.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yuyuevirus shaheense,Yuyuevirus,6556,complete,1,China,,Isopoda,,2013
NC_033290,Shahe yuevirus-like virus 1,RefSeq,GCF_001960175.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yuyuevirus shaheense,Yuyuevirus,1212,complete,2,China,,Isopoda,,2013
NC_033291,Wenling crustacean virus 14,RefSeq,GCF_001958435.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Chuvivirus brunnichi,Chuvivirus,6699,complete,1,China,,Crustacea,,2014
NC_033292,Wenling crustacean virus 14,RefSeq,GCF_001958435.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Chuvivirus brunnichi,Chuvivirus,4615,complete,2,China,,Crustacea,,2014
NC_033293,Wenling crustacean virus 13,RefSeq,GCF_001960095.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Crustacean mivirus,Mivirus,6746,complete,1,China,,Crustacea,,2014
NC_033294,Wenling crustacean virus 13,RefSeq,GCF_001960095.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Crustacean mivirus,Mivirus,4083,complete,2,China,,Crustacea,,2014
NC_033295,Wenzhou shrimp virus 9,RefSeq,GCF_001957295.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Wenzhou shrimp virus 9,,1924,complete,2,China,,Caridea,,2013
NC_033296,Wenzhou qinvirus-like virus 2,RefSeq,GCF_001967735.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus charybdis,Yingvirus,6186,complete,1,China,,Charybdis,,2013
NC_033297,Wenzhou qinvirus-like virus 2,RefSeq,GCF_001967735.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus charybdis,Yingvirus,1866,complete,2,China,,Charybdis,,2013
NC_033298,Wenzhou qinvirus-like virus 1,RefSeq,GCF_001959575.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus wenzhouense,Yingvirus,6009,complete,1,China,,Gastropoda,,2013
NC_033299,Wenzhou qinvirus-like virus 1,RefSeq,GCF_001959575.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Yingvirus wenzhouense,Yingvirus,1803,complete,2,China,,Gastropoda,,2013
NC_033300,Wenzhou shrimp virus 9,RefSeq,GCF_001957295.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Wenzhou shrimp virus 9,,2685,complete,1,China,,Caridea,,2013
NC_033301,Hubei diptera virus 17,RefSeq,GCF_001964455.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei diptera virus 17,,1731,complete,1,China,,Diptera,,2013
NC_033302,Hubei diptera virus 17,RefSeq,GCF_001964455.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei diptera virus 17,,1602,complete,2,China,,Diptera,,2013
NC_033303,Hubei diptera virus 12,RefSeq,GCF_001966015.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei diptera virus 12,,3256,complete,1,China,,Diptera,,2013
NC_033304,Hubei diptera virus 14,RefSeq,GCF_001965175.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei diptera virus 14,,2708,complete,1,China,,Odonata,,2013
NC_033305,Hubei mosquito virus 2,RefSeq,GCF_001966195.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei mosquito virus 2,,3159,complete,1,China,,Culicidae,,2013
NC_033306,Hubei mosquito virus 2,RefSeq,GCF_001966195.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei mosquito virus 2,,1652,complete,2,China,,Culicidae,,2013
NC_033307,Hubei noda-like virus 9,RefSeq,GCF_001965295.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei noda-like virus 9,,3267,complete,1,China,,Neoconocephalus,,2013
NC_033308,Hubei noda-like virus 9,RefSeq,GCF_001965295.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei noda-like virus 9,,1692,complete,2,China,,Neoconocephalus,,2013
NC_033309,Hubei noda-like virus 8,RefSeq,GCF_001964595.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei noda-like virus 8,,3831,complete,1,China,,Neoconocephalus,,2013
NC_033310,Hubei noda-like virus 8,RefSeq,GCF_001964595.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei noda-like virus 8,,1788,complete,2,China,,Neoconocephalus,,2013
NC_033311,Hubei orthoptera virus 4,RefSeq,GCF_001966335.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei orthoptera virus 4,,3025,complete,1,China,,Orthoptera,,2013
NC_033312,Hubei orthoptera virus 4,RefSeq,GCF_001966335.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei orthoptera virus 4,,1675,complete,2,China,,Orthoptera,,2013
NC_033313,Hubei tetragnatha maxillosa virus 8,RefSeq,GCF_001968635.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei tetragnatha maxillosa virus 8,,1789,complete,1,China,,Arthropoda,,2013
NC_033315,Hubei tetragnatha maxillosa virus 8,RefSeq,GCF_001968635.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei tetragnatha maxillosa virus 8,,1589,complete,4,China,,Arthropoda,,2013
NC_033316,Hubei tetragnatha maxillosa virus 8,RefSeq,GCF_001968635.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei tetragnatha maxillosa virus 8,,1652,complete,2,China,,Arthropoda,,2013
NC_033317,Isaria javanica chrysovirus 1,RefSeq,GCF_001968735.1,"Herrero,N.","National Center for Biotechnology Information, NIH",USA,2017-01-17,IjCV-1,Alphachrysovirus isariae,Alphachrysovirus,3175,complete,2,Czech Republic,,Cordyceps javanica,,2015-09-24
NC_033319,Changping earthworm virus 2,RefSeq,GCF_002288755.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Changping earthworm virus 2,,4027,complete,1,China,,Metaphire sieboldi,,2013
NC_033320,Changping earthworm virus 2,RefSeq,GCF_002288755.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Changping earthworm virus 2,,3165,complete,2,China,,Metaphire sieboldi,,2014
NC_033322,Changping earthworm virus 2,RefSeq,GCF_002288755.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Changping earthworm virus 2,,1271,complete,5,China,,Metaphire sieboldi,,2013
NC_033323,Changping earthworm virus 2,RefSeq,GCF_002288755.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Changping earthworm virus 2,,1521,complete,4,China,,Metaphire sieboldi,,2013
NC_033324,Changping earthworm virus 2,RefSeq,GCF_002288755.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Changping earthworm virus 2,,1218,complete,6,China,,Metaphire sieboldi,,2013
NC_033325,Hubei Wuhan insect virus 9,RefSeq,GCF_001965255.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei Wuhan insect virus 9,,3250,complete,2,China,,Odonata,,2013
NC_033326,Hubei Wuhan insect virus 9,RefSeq,GCF_001965255.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei Wuhan insect virus 9,,9312,complete,1,China,,Odonata,,2013
NC_033327,Hubei chuvirus-like virus 1,RefSeq,GCF_001964535.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Scarabeuvirus hubeiense,Scarabeuvirus,6873,complete,1,China,,Odonata,,2013
NC_033328,Hubei chuvirus-like virus 1,RefSeq,GCF_001964535.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Scarabeuvirus hubeiense,Scarabeuvirus,3958,complete,2,China,,Odonata,,2013
NC_033329,Hubei diptera virus 14,RefSeq,GCF_001965175.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei diptera virus 14,,1549,complete,2,China,,Odonata,,2013
NC_033330,Hubei diptera virus 12,RefSeq,GCF_001966015.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei diptera virus 12,,1549,complete,2,China,,Diptera,,2013
NC_033331,Hubei diptera virus 13,RefSeq,GCF_001964475.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei diptera virus 13,,3171,complete,1,China,,Diptera,,2013
NC_033332,Hubei diptera virus 13,RefSeq,GCF_001964475.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-17,,Hubei diptera virus 13,,1541,complete,2,China,,Diptera,,2013
NC_032645,Beihai shrimp virus 5,RefSeq,GCF_001935605.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-03,,Beihai shrimp virus 5,,3886,complete,1,China,,Penaeidae,,2014
NC_032646,Beihai shrimp virus 5,RefSeq,GCF_001935605.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-03,,Beihai shrimp virus 5,,1545,complete,2,China,,Penaeidae,,2014
NC_032647,Beihai shrimp virus 6,RefSeq,GCF_001935225.1,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.","National Center for Biotechnology Information, NIH",USA,2017-01-03,,Beihai shrimp virus 6,,2904,complete,1,China,,Penaeidae,,2014
